limits, 2.0259, 2.2955, 41.3013, 41.4903
base, plane, 0.0, 1.0, 0.0, -0.5,  ://resources/map.png
prop, 1, 1, 6, sphere
data, 2.129943, 41.397669, 2
data, 2.141052, 41.381424, 2
data, 2.173934, 41.446174, 6
data, 2.177034, 41.378814, 3
data, 2.165567, 41.409468, 4
data, 2.215456, 41.415398, 6
data, 2.194692, 41.383433, 2
data, 2.166823, 41.37165, 4
data, 2.126177, 41.384363, 1
data, 2.130756, 41.393522, 3
data, 2.173892, 41.39739, 3
data, 2.128868, 41.399249, 2
data, 2.132211, 41.401751, 4
data, 2.193086, 41.436758, 2
data, 2.136103, 41.41251, 3
data, 2.129581, 41.389891, 1
data, 2.142642, 41.414037, 2
